geneName	BMR1	BMR2	BMR3	BMR4	BMR5	BMR6	BMC1	BMC2	BMC3	BMC4	BMC5	BMC6
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610007N19Rik	19	10	16	11	7	6	19	11	11	20	10	14
0610007P14Rik	439	509	432	486	414	434	591	529	594	597	588	552
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	164	182	158	193	142	156	193	202	183	212	177	224
0610009D07Rik	1220	1326	1181	1261	1180	1248	1471	1412	1453	1561	1399	1381
0610009L18Rik	35	22	20	14	9	26	28	24	19	36	25	31
0610009O20Rik	996	1003	1038	1158	985	935	1376	1275	1246	1419	1194	1325
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	341	380	332	356	301	263	324	363	445	473	352	325
0610010K14Rik	595	624	583	567	572	594	731	656	685	816	675	698
0610011F06Rik	204	198	202	188	192	171	242	247	219	237	254	263
0610012G03Rik	309	257	258	264	251	235	270	248	325	316	279	326
0610012H03Rik	10	11	10	10	5	7	11	13	6	9	14	9
0610030E20Rik	2786	2703	2436	2855	2760	2299	2492	2586	2855	3229	2536	2894
0610031J06Rik	1169	1127	1012	1028	1140	1085	1199	1003	1190	1316	1063	1171
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	376	311	327	314	300	303	345	305	346	420	324	342
0610038B21Rik	0	0	2	4	3	0	2	3	0	0	1	2
0610038L08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	3	1	2	1	4	6	6	2	2	2	3	2
0610040B10Rik	7	4	10	3	2	3	13	11	12	7	9	9
0610040F04Rik	0	0	0	0	0	0	0	1	1	1	0	0
0610040J01Rik	54	50	44	50	55	53	44	43	70	59	48	37
0610043K17Rik	5	9	6	7	3	6	8	6	6	4	6	7
1100001G20Rik	4197	4500	3168	4277	4840	3650	3163	3235	3436	3775	3106	3617
1110001A16Rik	116	139	106	131	131	106	134	139	143	145	141	144
1110001J03Rik	200	184	185	202	171	185	249	221	217	244	208	219
1110002L01Rik	141	138	136	168	150	125	135	128	184	165	170	166
1110004E09Rik	171	158	175	162	140	150	237	210	215	211	211	229
1110004F10Rik	804	846	785	835	731	703	988	965	903	1104	931	997
1110006O24Rik	24	26	30	26	28	20	46	27	35	42	39	33
1110007C09Rik	682	635	568	607	615	547	547	493	611	728	581	613
1110008F13Rik	2104	2204	1940	1971	2109	1801	2029	1939	2165	2344	2065	2193
1110008J03Rik	74	64	79	65	49	56	88	85	95	95	82	109
1110008L16Rik	197	181	199	163	155	165	253	246	207	251	200	215
1110008P14Rik	357	333	320	331	298	327	369	332	385	401	307	383
1110012L19Rik	144	154	143	134	136	132	161	152	160	163	152	148
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	2	0	1	0	2	1	0	0	2	0	0	0
1110018G07Rik	3274	3413	3187	3579	3080	2877	4207	3849	3908	4317	3606	3921
1110019D14Rik	28	35	27	29	38	29	33	26	46	39	27	46
1110020A21Rik	30	28	31	27	27	30	33	40	35	31	32	40
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	17	20	20	24	12	22	24	25	26	30	29	26
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	210	219	195	202	206	177	302	242	228	240	227	223
1110032F04Rik	4	7	10	9	9	6	11	10	10	6	5	10
1110034G24Rik	175	192	171	212	183	168	232	235	241	202	207	219
1110035M17Rik	7	8	2	4	8	6	6	6	3	7	7	8
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	2200	2216	2136	2308	2224	2008	2521	2362	2707	2885	2503	2468
1110038B12Rik	409	372	397	428	332	317	524	490	440	616	412	494
1110038F14Rik	296	265	274	296	216	255	338	270	317	365	313	352
1110046J04Rik	6	3	3	1	4	0	1	1	1	7	9	3
1110051M20Rik	67	74	69	70	33	60	72	80	74	79	63	83
1110054M08Rik	43	36	31	39	31	39	43	47	50	39	37	38
1110057K04Rik	881	781	697	744	707	695	827	792	947	1070	854	871
1110058L19Rik	126	132	138	137	125	118	138	165	159	141	159	147
1110059E24Rik	244	260	252	254	254	200	284	291	302	324	292	297
1110059G10Rik	268	343	288	303	261	240	336	332	295	363	292	370
1110059M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	63	78	68	88	58	51	80	71	72	92	70	90
1190002F15Rik	527	638	561	585	549	558	864	702	686	806	714	803
1190002N15Rik	582	588	589	531	422	407	634	560	750	756	622	671
1190003J15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	8	5	8	4	1	3	8	4	2	10	5	7
1190007I07Rik	77	74	78	79	59	68	80	70	84	98	81	82
1200011I18Rik	1159	1149	1100	1119	1060	980	1211	1266	1240	1439	1197	1249
