geneName	D0CE1	D0CE2	D0CE3	D0CE4	D0CE5	D0RT1	D0RT2	D0RT3	D0RT4	D0RT6
0610005C13Rik	3	1	2	2	1	9	1	0	0	1
0610007N19Rik	133	100	106	62	152	162	103	133	123	128
0610007P14Rik	931	804	932	454	975	895	990	968	885	915
0610008F07Rik	0	0	2	0	0	2	0	0	0	0
0610009B14Rik	11	12	6	22	15	8	9	12	11	13
0610009B22Rik	456	389	473	285	421	499	506	457	377	482
0610009D07Rik	1089	914	969	447	1011	1025	1047	1081	902	883
0610009L18Rik	50	52	53	55	62	57	70	52	70	68
0610009O20Rik	1245	1277	1344	1025	1394	1377	1453	1352	1297	1281
0610010B08Rik	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	1446	1343	1562	1134	1557	1618	1505	1614	1242	1460
0610010K14Rik	587	563	569	582	563	501	564	510	495	533
0610011F06Rik	625	577	618	592	636	621	609	544	532	592
0610012G03Rik	666	554	639	565	600	687	688	606	617	616
0610012H03Rik	0	2	3	4	1	7	5	1	1	1
0610030E20Rik	813	819	804	484	823	805	841	775	701	777
0610031J06Rik	1308	1277	1374	802	1342	1366	1406	1213	1340	1280
0610031O16Rik	0	1	0	0	0	0	0	1	0	0
0610037L13Rik	931	829	933	818	910	1010	967	902	932	940
0610038B21Rik	5	6	7	4	2	11	2	5	2	8
0610038L08Rik	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	1	2	0	1	0	0	0	0	1	0
0610040B10Rik	46	41	38	21	47	50	39	52	52	40
0610040F04Rik	73	66	78	35	52	85	72	65	58	68
0610040J01Rik	91	74	105	86	102	81	82	78	74	90
0610043K17Rik	15	8	22	17	10	8	15	13	9	7
1100001G20Rik	6	5	46	11	8	37	10	10	5	7
1110001A16Rik	434	340	357	339	397	423	434	423	363	389
1110001J03Rik	482	485	479	393	435	395	488	484	429	405
1110002L01Rik	204	178	217	183	201	193	225	215	155	199
1110004E09Rik	495	448	472	460	451	515	522	495	392	504
1110004F10Rik	1147	1024	1081	626	1091	1087	1114	1148	935	1156
1110006O24Rik	15	15	15	12	19	15	13	24	15	17
1110007C09Rik	367	371	396	255	336	345	414	370	416	333
1110008F13Rik	1036	939	1082	781	996	1084	928	951	871	890
1110008J03Rik	387	406	452	447	435	455	423	442	414	438
1110008L16Rik	187	178	199	101	191	211	182	172	192	179
1110008P14Rik	1588	1536	1816	1430	1584	1528	1797	1658	1523	1598
1110012L19Rik	322	272	281	214	307	296	270	279	247	265
1110015O18Rik	31	59	55	16	45	45	38	32	29	29
1110017D15Rik	56	59	64	40	61	62	78	59	60	52
1110018G07Rik	3422	3412	3890	2532	3754	3803	3777	3507	3234	3390
1110019D14Rik	57	38	55	34	61	67	69	56	48	61
1110020A21Rik	28	18	28	9	15	22	27	22	27	26
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	2	1	1	1	1	2	1	3	3	1
1110028F18Rik	0	0	0	0	0	0	0	0	0	0
